pgID,pgChr,pgOrd,IM62,L1,S1
1,chr1,1,,,MgS1_01g00010.1
2,chr1,2,,MgL1_01g00010.1,MgS1_01g00020.1
1,chr1,2.33333333333333,,MgL1_01g00020.1,
2,chr1,2.66666666666667,,MgL1_01g00040.1,
3,chr1,3,,MgL1_01g00050.1,MgS1_01g00040.1
4,chr1,4,,MgL1_01g00060.1,MgS1_01g00050.1
5,chr1,5,Migut.A00002.1.v2.0|Migut.A00001.1.v2.0+|Migut.A00002.2.v2.0+,MgL1_01g00080.1|MgL1_01g00070.1+,MgS1_01g00060.1
6,chr1,6,Migut.A00003.1.v2.0|Migut.A00003.2.v2.0+,MgL1_01g00090.1,MgS1_01g00070.1
3,chr1,7,Migut.A00004.1.v2.0|Migut.A00004.1.v2.0,MgL1_01g00100.1,
7,chr1,7,,,MgS1_01g00080.1
8,chr1,8,Migut.A00005.1.v2.0,MgL1_01g00110.1,MgS1_01g00090.1
9,chr1,10,Migut.A00006.1.v2.0,MgL1_01g00120.1,MgS1_01g00110.1|MgS1_01g00100.1+
10,chr1,11,,,MgS1_01g00120.1
4,chr1,11.3333333333333,,MgL1_01g00130.1,
11,chr1,12,,,MgS1_01g00130.1
12,chr1,13,Migut.A00007.2.v2.0|Migut.A00007.1.v2.0+,MgL1_01g00140.1,MgS1_01g00140.1
13,chr1,14,Migut.A00008.1.v2.0,MgL1_01g00150.1,MgS1_01g00150.1
14,chr1,15,Migut.A00009.1.v2.0|Migut.A00009.2.v2.0+,MgL1_01g00160.1,MgS1_01g00160.1
5,chr1,15.5,Migut.A00010.1.v2.0,,
15,chr1,16,Migut.A00011.1.v2.0,MgL1_01g00170.1,MgS1_01g00170.1
6,chr1,16.5,Migut.A00011.2.v2.0,,
16,chr1,17,Migut.A00012.2.v2.0|Migut.A00012.1.v2.0+,MgL1_01g00180.1,MgS1_01g00180.1
17,chr1,18,Migut.A00013.2.v2.0|Migut.A00013.1.v2.0+,,MgS1_01g00190.1
7,chr1,18.5,Migut.A00014.1.v2.0,,
18,chr1,19,Migut.A00015.1.v2.0,MgL1_01g00190.1,MgS1_01g00200.1
19,chr1,20,Migut.A00016.1.v2.0,MgL1_01g00200.1,MgS1_01g00210.1
20,chr1,21,Migut.A00017.2.v2.0|Migut.A00017.1.v2.0+,MgL1_01g00210.1,MgS1_01g00220.1
21,chr1,22,Migut.A00018.2.v2.0|Migut.A00018.1.v2.0+,MgL1_01g00220.1,MgS1_01g00230.1
22,chr1,23,,,MgS1_01g00240.1
23,chr1,24,Migut.A00019.1.v2.0,MgL1_01g00230.1,MgS1_01g00250.1
8,chr1,25,Migut.A00023.1.v2.0|Migut.A00023.1.v2.0|Migut.A00023.2.v2.0+|Migut.A00023.2.v2.0+|Migut.A00023.3.v2.0+|Migut.A00023.3.v2.0+,MgL1_01g00250.1,
24,chr1,25,Migut.A00020.1.v2.0|Migut.A00020.3.v2.0+|Migut.A00020.2.v2.0+,MgL1_01g00240.1,MgS1_01g00260.1
9,chr1,25.25,Migut.A00021.1.v2.0,,
10,chr1,25.5,Migut.A00022.1.v2.0,,
25,chr1,26,Migut.A00024.1.v2.0,MgL1_01g00260.1,MgS1_01g00270.1
26,chr1,27,Migut.A00026.1.v2.0|Migut.A00025.1.v2.0+,MgL1_01g00270.1,MgS1_01g00280.1
